technology,parameter,year,value,unit,currency_year,financial_case,scenario,source,further description
biomass,discount rate,2020,0.0320752195121951,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
biomass,discount rate,2020,0.0320752195121951,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
biomass,discount rate,2020,0.0320752195121951,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
biomass,discount rate,2020,0.0320752195121951,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
biomass,discount rate,2020,0.0320752195121951,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
biomass,discount rate,2020,0.0320752195121951,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
Coal-IGCC-90%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
Coal-IGCC-90%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
Coal-IGCC-90%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
Coal-IGCC-90%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
Coal-IGCC-90%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
Coal-IGCC-90%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
csp-tower,discount rate,2020,0.0413177670333919,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
csp-tower,discount rate,2020,0.0413177670333919,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
csp-tower,discount rate,2020,0.0413177670333919,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
csp-tower,discount rate,2020,0.0276326399999999,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
csp-tower,discount rate,2020,0.0276326399999999,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
csp-tower,discount rate,2020,0.0276326399999999,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
geothermal,discount rate,2020,0.0337858216596282,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
geothermal,discount rate,2020,0.0337858216596282,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
geothermal,discount rate,2020,0.0337858216596282,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
geothermal,discount rate,2020,0.0226261931707318,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
geothermal,discount rate,2020,0.0226261931707318,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
geothermal,discount rate,2020,0.0226261931707318,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
hydro,discount rate,2020,0.0285731417527728,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
hydro,discount rate,2020,0.0285731417527728,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
hydro,discount rate,2020,0.0285731417527728,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
hydro,discount rate,2020,0.0238606595121952,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
hydro,discount rate,2020,0.0238606595121952,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
hydro,discount rate,2020,0.0238606595121952,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
offwind,discount rate,2020,0.0402516292682928,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
offwind,discount rate,2020,0.0402516292682928,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
offwind,discount rate,2020,0.0402516292682928,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
offwind,discount rate,2020,0.0261924292682929,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
offwind,discount rate,2020,0.0261924292682929,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
offwind,discount rate,2020,0.0261924292682929,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
onwind,discount rate,2020,0.0450951402114045,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
onwind,discount rate,2020,0.0450951402114045,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
onwind,discount rate,2020,0.0450951402114045,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
onwind,discount rate,2020,0.0239428136585366,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
onwind,discount rate,2020,0.0239428136585366,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
onwind,discount rate,2020,0.0239428136585366,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
PHS,discount rate,2020,0.0285731417527728,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
PHS,discount rate,2020,0.0285731417527728,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
PHS,discount rate,2020,0.0285731417527728,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
PHS,discount rate,2020,0.0238606595121952,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
PHS,discount rate,2020,0.0238606595121952,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
PHS,discount rate,2020,0.0238606595121952,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
ror,discount rate,2020,0.0285731417527728,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
ror,discount rate,2020,0.0285731417527728,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
ror,discount rate,2020,0.0285731417527728,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
ror,discount rate,2020,0.0238606595121952,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
ror,discount rate,2020,0.0238606595121952,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
ror,discount rate,2020,0.0238606595121952,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
solar-rooftop,discount rate,2020,0.0309251654427276,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
solar-rooftop,discount rate,2020,0.0309251654427276,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
solar-rooftop,discount rate,2020,0.0309251654427276,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
solar-rooftop,discount rate,2020,0.018352811707317,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
solar-rooftop,discount rate,2020,0.018352811707317,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
solar-rooftop,discount rate,2020,0.018352811707317,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
solar-utility,discount rate,2020,0.0270381159329737,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
solar-utility,discount rate,2020,0.0270381159329737,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
solar-utility,discount rate,2020,0.0270381159329737,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
solar-utility,discount rate,2020,0.0170755512195122,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
solar-utility,discount rate,2020,0.0170755512195122,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
solar-utility,discount rate,2020,0.0170755512195122,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
nuclear,discount rate,2020,0.0320752195121951,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
nuclear,discount rate,2020,0.0320752195121951,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
nuclear,discount rate,2020,0.0320752195121951,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
nuclear,discount rate,2020,0.0320752195121951,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
nuclear,discount rate,2020,0.0320752195121951,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
nuclear,discount rate,2020,0.0320752195121951,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
biomass,discount rate,2025,0.0535409772976367,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2025,0.0535409772976367,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2025,0.0535409772976367,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2025,0.0471698161746512,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2025,0.0471698161746512,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2025,0.0471698161746512,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2030,0.0538314857296738,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2030,0.0538314857296738,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2030,0.0538314857296738,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2030,0.0471698161746512,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2030,0.0471698161746512,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2030,0.0471698161746512,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2035,0.0540457018738165,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2035,0.0540457018738165,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2035,0.0540457018738165,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2035,0.0471698161746512,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2035,0.0471698161746512,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2035,0.0471698161746512,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2040,0.0542800248204645,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2040,0.0542800248204645,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2040,0.0542800248204645,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2040,0.0471698161746512,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2040,0.0471698161746512,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2040,0.0471698161746512,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2045,0.0545150857977472,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2045,0.0545150857977472,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2045,0.0545150857977472,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2045,0.0471698161746512,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2045,0.0471698161746512,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2045,0.0471698161746512,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2050,0.0548163560987116,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2050,0.0548163560987116,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2050,0.0548163560987116,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
biomass,discount rate,2050,0.0471698161746512,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
biomass,discount rate,2050,0.0471698161746512,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
biomass,discount rate,2050,0.0471698161746512,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2025,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2030,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2035,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2040,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2045,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2045,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2045,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2045,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2045,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2045,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2050,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2050,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2050,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
CCGT,discount rate,2050,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
CCGT,discount rate,2050,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
CCGT,discount rate,2050,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2025,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2025,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2025,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2025,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2025,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2025,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2030,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2030,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2030,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2030,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2030,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2030,0.0535847804878049,per unit,2022,R&D,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2035,0.0535847804878049,per unit,2022,Market,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2035,0.0535847804878049,per unit,2022,Market,Moderate,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2035,0.0535847804878049,per unit,2022,Market,Conservative,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2035,0.0535847804878049,per unit,2022,R&D,Advanced,"NREL, NREL ATB 2024",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2035,0.0535847804878049,per unit,2022,R&D,Moderate,"NREL, NREL ATB 2024",
